city,neighborhood,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price
תל אביב יפו,כוכב הצפון,דירה,33,0.0,1,1,1,1,0,1,1,1,1,0,0,5500
אשדוד,רובע י',דירה,85,0.0,3,0,1,1,0,1,1,0,1,0,0,4950
חולון,,דירה,126,0.0,5,1,1,1,1,1,0,0,1,0,1,7800
קרית ביאליק,צור שלום,יחידת דיור,45,0.0,2,1,1,0,0,0,1,1,0,1,0,2800
באר שבע,שכונה ה',דירה,40,0.0,2,0,1,1,0,0,1,1,0,1,0,2700
הרצליה,מרכז,דירה,85,0.0,3,1,1,1,0,1,0,0,0,0,0,7000
תל אביב יפו,,דירה,85,0.0,3,0,1,0,0,1,1,1,0,0,0,10500
קיסריה,נאות גולף,דירה,65,0.0,2.5,1,1,1,0,1,1,0,1,0,0,5500
ירושלים,"בית הכרם, רמת בית הכרם",דירה,100,0.0,4,0,1,1,0,0,1,0,0,0,1,7500
מעונה,מעונה,יחידת דיור,60,0.0,3,1,1,1,0,0,1,0,0,0,0,2600
תל אביב יפו,,גג/פנטהאוז,140,0.0,4,1,1,1,1,1,1,0,1,0,0,19000
תל אביב יפו,הצפון הישן - צפון,דירה,65,0.0,3,1,1,1,1,1,1,1,0,1,0,9500
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,50,0.0,2,1,1,0,0,1,1,0,0,0,0,7500
בת ים,לב העיר,דירה,70,0.0,3.5,0,1,0,0,0,1,1,0,0,0,4950
תל אביב יפו,,דירה,100,0.0,4,1,1,1,0,1,0,0,0,0,0,9000
עצמון שגב,עצמון שגב,בית פרטי/קוטג',500,350.0,4,0,1,1,1,0,0,1,0,0,0,7500
באר שבע,שכונה ג',דירה,74,0.0,3,0,1,0,0,1,0,1,0,0,0,2600
חיפה,"מת""מ, נאות פרס",דירה,135,0.0,5,1,1,1,1,1,0,0,0,0,1,6500
כרמיאל,רמת רבין,דירה,80,0.0,3,1,1,1,1,1,1,1,1,0,1,4250
רמת גן,רמת אפעל,דירה,135,0.0,5,1,1,1,1,1,1,0,1,0,0,8600
תל אביב יפו,רמת אביב ג',גג/פנטהאוז,200,0.0,6,0,1,0,0,1,1,0,1,0,0,21000
באר שבע,שכונה ד',דירה,70,0.0,4,0,1,0,0,0,1,1,0,1,0,2990
הרצליה,מרכז,גג/פנטהאוז,250,0.0,5,1,1,1,1,1,0,0,1,0,1,16300
קיסריה,,בית פרטי/קוטג',1000,0.0,6,2,1,1,1,0,0,0,0,0,1,30000
תל אביב יפו,בבלי,דירה,75,0.0,3,0,1,1,0,1,0,0,0,0,0,8500
מודיעין מכבים רעות,הפרחים,דירה,108,0.0,4,2,1,1,1,1,1,0,0,0,1,6300
עפולה,רובע יזרעאל סביוני העמק,דירה,120,0.0,4,1,1,1,1,1,0,0,0,0,1,3800
גן יבנה,נאות המכבים,יחידת דיור,30,30.0,2,0,1,0,1,0,1,1,0,1,0,3100
מעלות תרשיחא,הזיתים,תיירות ונופש,270,0.0,4,1,1,1,1,1,1,1,1,1,1,1500
רמת השרון,הדר,דירה,147,0.0,5,0,1,1,1,1,1,0,0,0,1,12000
נתניה,קרית השרון,דירה,25,0.0,1,0,1,0,0,1,0,1,0,0,0,2390
תל אביב יפו,פלורנטין,דירה,90,0.0,3,1,1,1,1,1,1,0,1,1,0,9000
באר שבע,שכונה ו',דירה,93,0.0,4.5,0,1,0,0,0,1,0,0,1,1,3200
תל אביב יפו,"צמרות איילון, פארק צמרת",דירה,92,0.0,3,1,1,1,1,1,1,1,0,0,1,10500
רחובות,נווה עמית,דירה,56,0.0,3,1,1,0,1,1,1,1,1,0,0,5000
תל אביב יפו,,גג/פנטהאוז,160,0.0,5,1,1,1,1,1,0,1,1,0,0,18000
הרצליה,מרכז,דירה,94,0.0,4,1,1,1,0,1,0,0,0,0,0,5800
ירושלים,מעלות דפנה,דירה,39,0.0,2,0,1,1,0,0,0,1,0,1,0,3600
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,70,0.0,3,0,1,0,0,0,1,0,0,1,0,6700
תל אביב יפו,,בית פרטי/קוטג',305,100.0,6,2,1,1,1,1,1,0,1,1,1,60000
רמת גן,שכונת גפן,דופלקס,110,0.0,4,1,1,0,0,0,1,1,0,0,0,7500
רחובות,מכון ויצמן,דירה,75,0.0,3,0,1,1,0,0,0,0,0,1,0,4000
ראשון לציון,"רמז, מערב ותיק",דירה,100,0.0,3.5,0,1,1,0,1,1,1,0,0,0,6500
אשדוד,רובע ב',דירה,108,0.0,4,2,1,0,1,1,1,0,0,0,0,5400
הרצליה,נווה עמל,דירה,55,0.0,2,1,1,0,0,0,1,1,0,0,0,5500
תל אביב יפו,,דירה,112,0.0,3.5,1,1,1,1,1,1,1,1,1,0,15000
קרית אונו,נאות אריאל שרון,דירה,153,0.0,6,1,1,1,1,1,1,0,0,0,1,8500
עכו,גן מוטה גור,דירה,150,0.0,5,1,1,1,1,1,1,1,1,0,1,4500
רעננה,נווה דוד רמז,דירה,130,0.0,5,1,1,1,1,1,1,0,1,0,1,10000
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,105,0.0,2.5,1,0,0,0,0,0,0,0,0,0,12700
תל אביב יפו,,דירה,106,0.0,4,1,1,1,1,1,0,0,0,0,0,9300
באר שבע,שכונה ד',דירה,49,0.0,4,0,1,0,0,0,1,0,0,0,0,1200
רעננה,,בית פרטי/קוטג',300,0.0,8,1,1,1,1,0,1,0,0,0,0,15000
ראשון לציון,קרית כרמים,דירה,135,0.0,4.5,1,1,1,1,1,1,1,1,0,0,7300
הרצליה,הרצליה ב',יחידת דיור,75,0.0,2,1,1,1,1,0,0,1,0,0,0,5900
תל אביב יפו,רביבים,דירה,139,0.0,5,1,1,1,1,1,1,0,1,0,1,14000
פתח תקווה,,דירת גן,90,50.0,4,1,1,0,0,0,1,0,0,1,0,7500
תל אביב יפו,"נווה ברבור, כפר שלם מערב",בית פרטי/קוטג',30,0.0,2,0,1,0,0,0,0,1,0,0,0,4500
תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",דירה,110,0.0,5,1,1,1,1,1,0,0,0,0,1,12500
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,100,0.0,4,0,1,1,0,1,1,0,0,0,0,12000
רעננה,2004,דירה,110,14.0,4,1,1,1,1,1,1,1,1,1,1,7800
ירושלים,,גג/פנטהאוז,175,0.0,5.5,2,1,1,0,1,0,0,1,1,1,12981
תל אביב יפו,בבלי,דירה,65,0.0,2.5,2,1,1,0,1,0,1,1,0,0,7500
תל אביב יפו,"אזורי חן, גימל החדשה",דירה,135,0.0,4,2,1,1,1,1,0,0,1,0,1,15500
שדרות,נאות אשכול,דירה,134,0.0,4.5,2,1,0,1,0,1,1,0,1,0,3000
ראשון לציון,אברמוביץ',דירה,115,0.0,4,1,1,1,0,0,1,1,0,0,0,7200
באר שבע,"שכונה י""א",דירה,72,0.0,3,0,1,1,0,0,1,1,0,0,0,2500
ביתן אהרן,,בית פרטי/קוטג',1500,1240.0,5,2,1,1,1,0,0,1,0,0,0,25000
ראש העין,גבעת הסלעים,דו משפחתי,300,200.0,4.5,0,1,0,0,0,1,0,0,0,0,9900
תל אביב יפו,,דירה,74,0.0,3,1,1,1,1,1,1,0,1,0,1,8200
קרית אתא,מרכז העיר,דירה,55,0.0,3,0,1,0,0,0,1,0,0,0,0,2250
תל אביב יפו,הצפון הישן - צפון,דירה,138,0.0,5.5,1,1,0,1,1,1,0,1,0,0,15200
באר שבע,"העיר העתיקה, רמב""ם, דרום",יחידת דיור,60,0.0,2,0,1,0,0,0,1,1,0,0,0,1700
קרית אונו,נאות אריאל שרון,דירה,153,0.0,6,1,1,1,1,1,1,0,1,0,1,8300
הרצליה,הרצליה פיתוח,בית פרטי/קוטג',500,500.0,7,1,1,1,0,0,0,0,0,0,0,38000
גבעתיים,שאר העיר,דירה,135,0.0,5,1,1,1,1,1,1,1,1,0,0,10900
בת ים,"דרום חדש, פארק הים",דירה,112,0.0,4,1,1,1,1,1,1,1,1,0,0,9500
ראשון לציון,נרקיסים,דירה,135,0.0,5,1,1,1,1,1,1,0,1,1,0,6500
רמלה,נאות שמיר,דירה,145,0.0,5,1,1,1,1,1,1,0,1,0,1,6500
ראשון לציון,קרית גנים,דירה,85,0.0,4,1,1,1,0,1,1,0,0,0,0,6500
מטולה,מטולה,בית פרטי/קוטג',400,240.0,5.5,3,1,1,1,0,0,1,0,0,1,5700
תל אביב יפו,הצפון הישן - צפון,דירה,90,0.0,3,2,1,1,1,1,1,0,1,0,0,12600
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,75,0.0,3,0,1,0,0,0,1,0,0,0,0,7800
מעלות תרשיחא,שכונה ותיקה - מרכז העיר,דירה,89,0.0,3,0,1,0,0,0,1,0,0,0,0,2400
חריש,החורש,דירה,117,0.0,4,2,1,1,1,1,0,0,0,0,0,3400
תל אביב יפו,"גני שרונה, קרית הממשלה",דירה,108,0.0,4,1,1,1,1,1,1,1,1,1,0,11500
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,81,0.0,3,1,1,0,0,1,0,1,0,0,1,12500
באר שבע,שכונה ה',דירה,84,0.0,3.5,0,1,0,0,0,0,0,0,0,1,2100
הרצליה,"הרצליה הירוקה, נווה עובד",דירת גן,140,150.0,5.5,1,1,1,1,1,1,1,0,0,1,16500
רעננה,מרכז דרום,דירה,135,0.0,4.5,1,1,1,1,1,1,0,1,0,1,7300
אור עקיבא,היובל,דירה,110,0.0,4,1,1,1,1,1,0,0,0,0,1,5000
תל אביב יפו,"מונטיפיורי, הרכבת",דירה,87,0.0,3,1,1,1,1,1,0,0,1,0,0,9000
חדרה,גבעת אולגה,תיירות ונופש,20,50.0,1,0,1,0,0,0,1,1,1,0,0,500
קיסריה,העדי,בית פרטי/קוטג',1100,600.0,6,3,1,1,1,0,1,0,0,1,1,17000
תל אביב יפו,"מונטיפיורי, הרכבת",דירה,60,0.0,2,0,0,0,0,0,0,0,0,0,0,6100
ראשון לציון,נווה חוף,יחידת דיור,45,0.0,2,0,1,0,0,0,1,1,0,0,0,3200
תל אביב יפו,נווה שאנן,גג/פנטהאוז,190,0.0,4,1,1,1,1,1,1,0,0,1,1,26000
באר שבע,פארק הנחל,גג/פנטהאוז,230,0.0,4,1,1,1,1,1,0,1,0,0,0,4998
חולון,"מרכז, קרית עבודה",בניין מגורים,76,0.0,76,0,1,0,0,0,1,1,0,0,0,4600
ירושלים,גילה,דירת גן,280,150.0,6,2,1,0,1,1,0,1,1,1,1,9900
באר שבע,שכונה ה',יחידת דיור,35,0.0,2,0,1,1,0,0,0,1,0,0,0,2050
גבעתיים,סיטי,דירה,146,0.0,5,1,1,1,1,1,1,0,1,0,1,11000
ראשון לציון,"רביבים, גני ראשון",יחידת דיור,35,0.0,1.5,0,1,0,0,0,0,1,0,1,0,3000
באר שבע,שכונה א',דירה,80,0.0,4,0,1,0,0,0,1,1,0,0,0,2800
באר שבע,שכונה ד',דירה,75,0.0,3,0,0,0,0,0,0,1,0,1,0,2300
קרית גת,הפרחים,דירה,95,0.0,4,1,1,1,1,1,1,0,0,0,0,4000
תל אביב יפו,נווה צדק,דירה,26,0.0,1,0,0,0,0,0,0,1,0,1,0,3500
תל אביב יפו,יד אליהו,דופלקס,180,0.0,4,2,0,0,0,0,0,0,0,0,0,8500
באר שבע,רמות הרכס,דירה,110,12.0,4,1,1,1,1,1,0,0,0,0,0,3950
תל אביב יפו,הצפון החדש - צפון,דירה,90,0.0,3,0,0,1,0,0,0,0,0,0,0,8500
פרדס חנה כרכור,מרכז כרכור,דירה,122,0.0,4,1,1,1,1,1,0,0,1,0,1,4700
ירושלים,"בית הכרם, רמת בית הכרם",דופלקס,150,0.0,5,3,1,1,0,0,1,0,0,1,0,15000
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,115,0.0,4,0,1,0,1,1,1,0,1,0,0,16000
תל אביב יפו,הצפון החדש - צפון,דופלקס,140,0.0,5,2,1,1,0,1,1,0,0,0,0,22000
באר שבע,שכונה א',דירה,40,0.0,2,0,1,1,0,0,1,1,0,0,0,2300
רמת גן,יד לבנים,דירה,25,0.0,1,0,1,0,0,0,0,0,0,0,0,4200
חיפה,קרית חיים מזרחית,דירה,40,0.0,1.5,0,1,0,0,0,1,1,0,1,0,2600
חולון,אגרובנק,דירה,120,0.0,5,1,1,1,1,1,1,0,1,0,0,7700
קרית אונו,נאות אריאל שרון,דירה,125,0.0,5,1,1,1,1,1,0,0,0,0,1,8500
גבעתיים,,דירה,40,0.0,1.5,1,0,0,0,0,0,0,0,0,0,5000
קרית אונו,נאות אריאל שרון,דירה,228,121.0,6,2,1,1,1,1,1,1,1,1,1,9400
קרית מוצקין,מוצקין הותיקה,דירה,75,0.0,3,0,1,0,0,0,1,0,0,0,0,2800
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,95,0.0,3,1,1,1,1,1,1,0,1,0,1,12500
מעלה אדומים,צמח השדה,דירת גן,300,180.0,5.5,0,1,1,1,0,0,0,1,1,1,7500
תל מונד,שכונה 12,בית פרטי/קוטג',279,50.0,6,1,1,1,1,0,0,0,0,0,1,12000
הוד השרון,,דירה,125,0.0,5,1,1,1,1,1,0,0,0,0,0,7900
כפר ורדים,הפרחים,בית פרטי/קוטג',640,450.0,6,0,1,0,1,0,1,0,0,0,1,7500
תל אביב יפו,ביצרון ורמת ישראל,דירה,110,0.0,4,1,1,1,1,1,1,0,1,0,0,10500
נתניה,צפון מזרח מרכז העיר,דירה,30,0.0,1.5,0,1,1,0,1,1,0,0,0,0,3000
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,132,0.0,4,2,1,1,1,1,0,1,0,0,1,20000
רמת גן,"שכונת חשמונאים, מרכז העיר א",דירה,40,0.0,1.5,0,1,0,0,0,1,0,0,1,0,3500
תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",דירה,100,0.0,4,1,1,1,1,1,1,1,1,0,1,10000
ראשון לציון,נרקיסים,דירה,80,0.0,3,1,1,1,1,1,0,0,1,0,0,5800
קדימה צורן,שאר העיר,בית פרטי/קוטג',380,400.0,4,2,1,1,1,0,0,0,1,0,0,12121
גבעתיים,"הל""ה",דירה,76,0.0,3,0,0,1,0,1,1,0,0,0,0,6000
באר שבע,שכונה ב',יחידת דיור,35,0.0,2,1,1,1,0,0,0,1,0,0,0,1650
חיפה,חליסה,דירה,55,0.0,2,1,1,1,0,0,1,1,0,1,1,1690
שדרות,נאות שקמה,דירה,130,0.0,5,1,1,1,1,0,0,0,1,1,0,4900
רמת השרון,,דו משפחתי,200,0.0,5,0,0,0,0,0,0,0,0,0,0,22000
בת ים,ניצנה,דירה,65,0.0,3,0,1,0,0,0,1,0,0,1,0,5000
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,61,0.0,2,1,1,0,0,0,1,1,0,0,0,7900
הרצליה,גליל ים (מתחם הכוכבים),דירה,98,0.0,4,1,1,1,1,1,0,0,1,0,1,9000
לוד,שגיא ב,דירה,55,0.0,2.5,1,1,0,0,0,0,1,1,1,0,3000
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,86,0.0,3,0,1,0,0,1,0,0,0,1,0,9000
קיסריה,,בית פרטי/קוטג',600,0.0,6,2,0,1,0,0,0,0,0,0,0,22000
נהריה,עין שרה,דירה,72,0.0,3,1,0,0,0,0,1,1,0,0,0,3500
חולון,רסקו א',דירה,40,0.0,1,0,1,0,0,0,1,0,0,1,0,3600
תל אביב יפו,הצפון הישן - צפון,דירה,60,0.0,2,2,1,0,0,1,1,0,0,1,0,7100
הרצליה,,דירה,130,0.0,5,1,1,1,1,1,1,1,0,0,1,14200
חולון,,גג/פנטהאוז,180,0.0,6,1,1,1,1,1,1,0,1,0,1,16000
רחובות,,גג/פנטהאוז,170,0.0,3,3,1,1,1,1,0,0,1,1,0,5900
חולון,נאות רחל,דירה,70,0.0,3,0,1,1,0,0,1,0,0,0,0,4800
תל אביב יפו,רמת אביב,דירה,61,0.0,3,0,1,0,0,0,0,0,0,0,0,6500
רעננה,שיכון אשר,דירת גן,144,0.0,4,0,0,1,0,1,1,0,1,0,1,8500
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,65,0.0,2,0,1,1,1,1,1,1,1,0,0,12500
בת ים,הגבול רוטשילד,דירה,55,0.0,2,0,1,0,0,0,1,0,0,0,0,4500
תל אביב יפו,תל ברוך,בית פרטי/קוטג',300,0.0,5,2,1,1,1,0,1,0,0,0,0,17000
תל אביב יפו,פלורנטין,דירה,50,0.0,2,1,1,1,0,1,1,0,1,0,0,7000
רמת גן,"נווה יהושע, ערמונים",דירה,85,0.0,4,0,1,1,0,1,1,0,1,0,0,6500
דימונה,חכמי ישראל,דירה,78,0.0,3,0,1,0,0,0,1,0,0,1,0,2000
תל אביב יפו,הצפון החדש - צפון,דירה,65,0.0,2.5,0,1,0,0,1,1,0,0,1,0,8000
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,167,0.0,2.5,2,1,1,0,1,1,0,0,0,0,15800
תל אביב יפו,בבלי,דירה,146,0.0,4.5,1,1,1,1,1,1,1,1,0,1,17000
הרצליה,הרצליה פיתוח,בית פרטי/קוטג',500,0.0,6,2,1,1,1,0,1,1,0,0,0,46000
אשקלון,ברנע,יחידת דיור,40,0.0,1.5,0,1,1,0,0,1,0,1,1,0,3120
תל אביב יפו,כרם התימנים,גג/פנטהאוז,160,0.0,4,2,1,1,0,1,1,1,0,0,0,17500
רמת השרון,קרית יערים,בית פרטי/קוטג',230,100.0,6,1,1,1,0,0,1,0,1,0,0,19990
נתניה,עיר ימים,דירה,207,0.0,4,1,1,1,1,1,1,0,1,1,1,19900
נתניה,צפון מערב מרכז העיר,גג/פנטהאוז,160,0.0,5,1,1,1,1,1,1,1,1,0,1,13800
רמת גן,"נווה יהושע, ערמונים",דירה,120,0.0,5,1,1,1,1,1,1,0,0,0,0,7500
תל אביב יפו,הצפון החדש - דרום,דירה,120,0.0,4,0,1,1,0,1,1,1,0,0,0,15000
קרית ים,קרית ים ד',דירה,105,0.0,4,0,1,0,1,1,1,0,1,0,1,4300
קרית אונו,נאות אריאל שרון,דירה,157,0.0,6,1,1,1,1,1,1,0,1,0,1,8500
תל אביב יפו,הצפון הישן - צפון,דירה,75,0.0,3,0,1,1,0,0,0,0,0,0,0,10700
נתניה,צפון מזרח מרכז העיר,דירת גן,60,0.0,3,0,1,0,0,0,1,0,0,1,0,5200
ראשון לציון,אברמוביץ',דירה,99,0.0,3.5,0,1,1,0,0,1,0,0,0,0,4600
קרית ים,קרית ים  א',דירה,35,0.0,2,0,1,0,0,0,1,1,0,0,0,1999
חיפה,המיימוני,דירה,100,0.0,4,1,1,1,0,1,1,0,1,0,1,4500
אור עקיבא,,גג/פנטהאוז,130,0.0,5,1,1,1,1,1,1,0,0,0,1,5500
אשקלון,עיר היין,דירה,140,0.0,5,1,1,1,1,1,1,0,0,0,1,4800
ירושלים,מקור ברוך,דירה,30,0.0,2,0,1,0,0,1,0,1,1,0,0,5200
תל אביב יפו,רמת אביב ג',דירה,140,0.0,5,1,1,1,0,1,1,0,1,0,0,12800
פתח תקווה,שעריה,דירה,70,0.0,3,1,1,1,0,1,1,1,1,0,0,3900
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,25,0.0,1,0,1,0,0,1,1,1,0,0,0,3000
פרדס חנה כרכור,נווה אפרים,יחידת דיור,382,350.0,2,1,1,1,0,0,1,0,0,0,0,3400
אשקלון,מגדל,דירה,65,0.0,3,0,0,1,0,1,0,1,1,1,1,2700
תל אביב יפו,,דירה,135,0.0,4.5,1,1,1,1,1,0,0,0,0,0,12950
קרית אונו,מגדל המים,יחידת דיור,65,0.0,2,0,1,0,0,0,0,1,0,0,0,4300
תל אביב יפו,נווה שאנן,דירה,55,0.0,3,1,1,1,1,1,1,1,0,0,0,5600
לוד,,דירה,70,0.0,3,0,0,0,0,0,0,0,0,0,0,2700
חולון,נאות רחל,דירה,120,80.0,2,4,1,0,0,0,1,1,0,0,1,3800
נתניה,צפון מערב מרכז העיר,דירה,140,0.0,5,0,1,1,1,1,1,0,1,0,0,6500
הרצליה,הרצליה ב',דירה,90,0.0,3,1,1,1,1,1,1,0,1,0,1,10250
תל אביב יפו,הצפון הישן - דרום,דירה,164,0.0,4,1,1,1,0,1,1,0,0,0,0,42000
קרית אונו,נאות אריאל שרון,דירה,150,0.0,5,1,1,1,1,1,0,0,1,0,1,8000
באר שבע,פארק הנחל,דירה,148,40.0,4,1,1,1,1,1,0,0,1,0,0,3900
תל אביב יפו,פלורנטין,דירה,130,0.0,4,0,1,0,0,0,0,0,0,0,0,8000
תל אביב יפו,הצפון החדש - כיכר המדינה,דירה,110,0.0,4,0,1,1,0,1,0,0,1,0,0,11000
כרמיאל,רמת רבין מערב,יחידת דיור,180,50.0,2,1,1,1,1,0,1,1,0,1,1,4300
תל אביב יפו,פלורנטין,דירה,96,0.0,4,1,1,1,1,1,0,1,1,0,1,11800
תל אביב יפו,"מונטיפיורי, הרכבת",דירה,67,0.0,3,1,1,1,1,1,1,0,0,1,0,10500
אשדוד,"הקריה מע""ר",דירה,140,0.0,4,1,1,1,1,1,1,1,0,0,0,8500
חיפה,הדר עליון,דירה,25,0.0,2,0,1,0,0,0,0,0,0,1,0,2500
חיפה,מסדה,דירה,75,0.0,4,1,1,0,0,0,0,0,0,0,0,3300
הרצליה,"גן רש""ל",דירה,35,0.0,1,0,1,0,0,0,1,1,0,0,0,3400
קרית גת,מלכי ישראל,דירה,122,0.0,4,0,1,0,0,1,1,1,1,0,0,4000
הרצליה,מרינה,סאבלט,65,0.0,2,0,1,1,0,0,0,1,0,0,1,12000
באר שבע,"שכונה י""א",דירה,98,0.0,4,0,1,0,0,0,1,0,0,0,0,3400
ירוחם,נאות הדר,בית פרטי/קוטג',300,240.0,5,1,1,1,0,0,1,1,1,1,1,4500
תל אביב יפו,"מונטיפיורי, הרכבת",דירה,50,0.0,3,0,1,0,0,0,1,1,0,1,0,6000
באר שבע,שכונה ד',דירה,65,0.0,2.5,0,1,0,0,0,1,1,0,0,1,2700
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,58,0.0,2,1,1,0,1,1,1,1,1,1,0,8400
פתח תקווה,המרכז השקט / מרכז העיר,דירה,75,0.0,3,0,1,1,1,1,1,0,0,0,0,4600
תל אביב יפו,בבלי,דירה,95,0.0,3.5,0,1,1,0,1,0,1,1,0,0,10500
חדרה,נווה עובד,דירה,100,0.0,4,1,1,1,1,1,0,0,0,0,0,4800
חולון,נאות יהודית ונווה ארזים,דירה,700,0.0,3,0,1,0,0,0,1,0,0,0,0,3000
חיפה,קרית חיים מזרחית,גג/פנטהאוז,160,0.0,4.5,1,1,1,0,0,1,0,0,0,1,4300
תל אביב יפו,"גני שרונה, קרית הממשלה",דירה,94,0.0,3,1,1,1,1,1,0,0,1,0,1,10500
תל אביב יפו,פלורנטין,דירה,85,0.0,3,2,1,1,1,1,1,0,1,0,0,9000
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,90,0.0,3,1,1,0,0,1,1,0,1,0,0,11750
תל אביב יפו,גלילות,דירה,125,0.0,3.5,1,1,1,1,1,1,1,1,1,1,12000
בת ים,רמת הנשיא,דירה,70,0.0,3,0,1,0,0,0,1,0,0,0,0,5000
דימונה,שבעת המינים,בית פרטי/קוטג',700,350.0,5,3,1,1,0,0,1,1,1,1,0,4800
רמת גן,רמת אפעל,דירה,123,0.0,5,1,1,1,1,1,0,0,1,0,1,8500
תל אביב יפו,גלילות,סטודיו/לופט,30,0.0,1,1,1,0,0,1,0,1,1,0,0,4500
רמת גן,רמת אפעל,דירה,92,12.0,3,1,1,1,1,1,1,0,1,0,0,6900
חולון,אגרובנק,דירה,80,0.0,3.5,0,1,0,0,1,1,0,1,0,0,5000
נתניה,גלי הים,דירה,140,0.0,5,1,1,1,1,1,0,0,1,0,1,7900
חיפה,נווה דוד,דירה,55,0.0,2.5,0,1,0,0,0,1,1,0,1,0,2700
חיפה,"מת""מ, נאות פרס",דירה,91,0.0,3,1,1,1,1,1,0,0,1,0,0,4922
תל אביב יפו,הצפון החדש - דרום,דירה,92,0.0,3,3,0,0,0,0,0,1,0,1,0,7600
תל אביב יפו,"צמרות איילון, פארק צמרת",דירה,123,0.0,2.5,1,1,1,1,1,0,0,0,0,1,11900
באר שבע,שכונה ג',דירה,80,0.0,4,1,1,0,0,0,1,1,0,0,0,2700
פתח תקווה,רמת ורבר,יחידת דיור,25,0.0,1,0,1,0,0,0,1,1,0,0,0,3000
פתח תקווה,רמת ורבר,דירה,70,0.0,3,0,1,0,0,0,1,0,0,0,0,4000
רמת ישי,,בית פרטי/קוטג',200,0.0,6,2,1,1,1,0,0,0,0,0,0,9000
בת ים,לב העיר,דירה,110,0.0,4,0,1,1,0,1,1,1,0,0,0,7000
מגדל,מגדל,דירה,75,25.0,2.5,1,1,0,0,0,1,1,0,0,0,3400
תל אביב יפו,,דירה,108,0.0,4,1,1,1,1,1,1,1,0,0,0,11500
חיפה,סביוני הכרמל,דירה,120,0.0,4.5,0,1,1,1,0,1,0,0,0,0,4800
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,210,0.0,5,1,1,1,1,1,1,1,1,0,1,27000
גבעתיים,שינקין,דירה,110,0.0,4,1,1,1,0,1,1,1,0,0,0,7000
תל אביב יפו,"אזורי חן, גימל החדשה",דירה,80,0.0,3,0,1,1,1,1,1,0,1,0,1,9000
ראשון לציון,"רמב""ם",דירה,30,0.0,2,0,1,0,0,0,1,1,0,0,0,3700
הרצליה,,בית פרטי/קוטג',400,250.0,8,3,1,1,1,1,1,1,1,1,1,35000
הרצליה,הרצליה ב',דירה,90,0.0,3,1,1,1,1,1,1,0,1,0,1,10000
תל אביב יפו,הצפון הישן - צפון,דירה,50,0.0,2,1,1,0,0,0,1,0,0,0,0,7500
נהריה,טרומפלדור,דירה,75,0.0,3,0,1,0,0,0,1,0,0,0,0,2900
רמת גן,יד לבנים,דירה,83,15.0,3,0,1,0,0,0,0,0,0,0,0,5500
תל אביב יפו,"לב תל אביב, לב העיר צפון",דירה,35,0.0,2,0,1,1,0,1,1,1,0,0,0,3900
תל אביב יפו,תל חיים,דירה,60,0.0,2,1,1,0,0,0,1,0,0,0,0,5300
בית יצחק שער חפר,בית יצחק שער חפר,בית פרטי/קוטג',870,700.0,6,2,1,1,1,0,1,0,1,0,0,13000
רחובות,ג' / מרכז מזרח העיר,דירה,93,0.0,3.5,1,1,1,1,1,0,0,1,0,1,5600
ירושלים,עיר גנים,יחידת דיור,26,8.0,1,1,1,0,0,0,1,0,0,1,0,2000
באר שבע,פארק הנחל,דירה,124,0.0,4,1,1,1,1,1,1,0,1,1,0,3700
רעננה,מרכז דרום,דירה,115,0.0,4,0,1,1,0,1,1,0,1,0,0,7500
תל אביב יפו,"לב תל אביב, לב העיר צפון",גג/פנטהאוז,95,50.0,2,2,1,0,0,0,1,0,0,0,1,7390
תל אביב יפו,"גני שרונה, קרית הממשלה",דירה,103,0.0,4,1,1,1,1,1,1,1,1,1,1,9500
רמת גן,אזור הבילויים,דירה,80,5.0,3,1,1,1,1,1,1,0,0,0,0,6500
חיפה,נווה יוסף,דירה,110,0.0,5,1,1,1,1,1,1,0,1,0,1,4550
באר יעקב,צמרות המושבה,דירה,120,0.0,5,1,1,1,1,1,0,0,0,1,1,7800
תל אביב יפו,בבלי,דירה,65,0.0,3,0,1,1,0,1,0,0,0,0,0,8500
כפר סבא,פועלים ד,דירה,120,0.0,4,1,1,1,1,1,0,0,0,0,0,6500
